Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Birthplace,BirthRegion,SwedishResidence,Age,Gender,SubmissionTime
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kaka,Wienerbröd,Semla,Jitterbugg,paj,kaka,Brioche,ruta,Svenska,Engelska,Sverige,Jag kommer inte från Sverige,Västergötland,50-59,Kvinna,Sat May 15 09:26:33 AM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kaka,Wienerbröd,Semla,Jitterbugg,paj,kaka,Brioche,ruta,Svenska,Engelska,Sverige,Jag kommer inte från Sverige,Västergötland,50-59,Kvinna,Sat May 15 09:26:33 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,Semla,bulle,bakverk,bakverk,bröd,paj,Svenska ,Tyska,Sverige ,Jag kommer inte från Sverige,Västergötland,40-49,Kvinna,Sat May 15 09:33:17 AM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bulle,bakelse,bulle,bakelse,kaka,bulle,paj,Engelska,Svenska spanska franska,Sverige,Västergötland,Västergötland,70+,Kvinna,Sat May 15 10:34:07 AM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,bakverk,kaka,bulle,Semla,bulle,bakverk,bulle,bulle,kaka,Svenska ,"Norska, engelska, franska ",Sverige ,Småland,Västergötland,40-49,Kvinna,Sat May 15 10:42:57 AM 2021
tårta,tårta,paj,paj,Pepparkaka,tårta,tårta,kaka,bakverk,Semla,bulle,tårta,kaka,bakverk,kaka,Svenska,Engelska,Sverige,Småland,Södermanland,30-39,Man,Sat May 15 11:00:34 AM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kaka,bakverk,bakverk,bulle,kaka,kaka,bulle,kaka,Svenska,Engelska,Sverige,Halland,Halland,30-39,Kvinna,Sat May 15 11:17:53 AM 2021
tårta,tårta,tårta,paj,kaka,tårta,paj,kaka,bakverk,bakverk,bulle,bakverk,bakverk,bulle,paj,Svenska,,Sweden,Västergötland,Jag bor inte i Sverige,40-49,Kvinna,Sat May 15 12:02:22 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bulle,bulle,kaka,kaka,bulle,kaka,Svenska,Engelska,Sverige,Västergötland,Västergötland,30-39,Kvinna,Sat May 15 02:09:50 PM 2021
tårta,tårta,paj,paj,kaka,paj,paj,kaka,bulle,Semla,bulle,kaka,kaka,bröd,kaka,Svenska,Engelska,Sverige,Jag kommer inte från Sverige,Jag bor inte i Sverige,30-39,Kvinna,Sat May 15 06:17:47 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,kaka,kaka,bulle,bakelse,bulle,bakverk,kaka,bulle,kaka,Svenska ,4,Sverige ,Västergötland,Jag bor inte i Sverige,40-49,Kvinna,Sat May 15 08:42:08 PM 2021
tårta,tårta,tårta,paj,kaka,paj,paj,kaka,Wienerbröd ,Semla ,bulle,bakverk,bakverk,bröd,paj,Svenska ,Engelska ,Sverige ,Skåne,Skåne,50-59,Kvinna,Sun May 16 07:40:36 AM 2021
tårta,bakverk,tårta,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,kaka,kaka,bulle,kaka,Svenska,"Tyska, engelska, isländska",Sverige,Västergötland,Västergötland,30-39,Kvinna,Sun May 16 09:14:58 AM 2021
tårta,tårta,paj,paj,kaka,bakverk,paj,kaka,bakverk,bakverk,bulle,bakverk,bulle,bulle,kaka,Svenska,,Sverige,Västergötland,Västergötland,60-69,Man,Sun May 16 09:53:04 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakelse,bakelse,bulle,kaka,kaka,bröd,kaka,Nederländska,"Svenska, engelska",Belgien,Jag kommer inte från Sverige,Södermanland,20-29,Kvinna,Sun May 16 07:21:28 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakelse,bakverk,bulle,bröd,kaka,bit,kaka,svenska,engelska,Sverige ,Uppland,Jag bor inte i Sverige,20-29,Kvinna,Sun May 16 09:26:29 PM 2021
tårta,tårta,paj,paj,Pepparkakor ,kaka,paj,Krans,bakverk,Semla,bulle,bakverk,Krans,Vetebröd ,kaka,,,Sverige ,Västergötland,Jag bor inte i Sverige,40-49,Kvinna,Mon May 17 09:48:19 AM 2021
tårta,tårta,kaka,paj,kaka,kaka,paj,kex,bakelse,bulle,bulle,bakverk,paj,bröd,kaka,tyska,"engelska, franska, svenska",tyskland,Jag kommer inte från Sverige,Uppland,20-29,Kvinna,Mon May 17 11:21:51 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bulle,bulle,bakverk,Sockerkaka,bulle,ruta,Svenska,Engelska,Sverige ,Västmanland,Västmanland,30-39,Kvinna,Mon May 17 04:13:08 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,kaka,bulle,bakelse,bulle,bakelse,bakelse,bulle,paj,Svenska,Engelsk,Sverige,Halland,Bohuslän,50-59,Kvinna,Mon May 17 05:05:51 PM 2021
tårta,tårta,paj,paj,kaka,bit,paj,kaka,bakverk,bakelse,bulle,kaka,kaka,bröd,kaka,Svenska,"Engelska, Franska",Sverige ,Dalarna,Dalarna,20-29,Kvinna,Tue May 18 02:09:57 PM 2021
tårta,Födelsedagstårta ,paj,Äppelpaj,Pepparkakor ,tårta,paj,kaka,Pepparkakor ,Semla ,Bullar,Butterkaka,sockerkaka ,Butterkaka,tårta,Svenska ,Engelska franska tyska,Sverige ,Närke,Västmanland,50-59,Kvinna,Tue May 18 03:34:44 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,ruta,kaka,bröd,bakverk,Svenska,Engelska,Sverige,Uppland,Jag bor inte i Sverige,40-49,Kvinna,Tue May 18 07:48:25 PM 2021
tårta,kaka,kaka,paj,Pepparkaka,kaka,paj,kex,Wienerbröd,Fastlagsbulle,bulle,bulle,kaka,bulle,ruta,Svenska (Finlandssvenska),Finska och engelska,Finland,Jag kommer inte från Sverige,Södermanland,30-39,Kvinna,Tue May 18 07:50:34 PM 2021
Bröllopstårta ,tårta,Tartelett,Äppelpaj ,Pepparkakor,Ambrosiakaka ,paj,kex,Wienerbröd,Semla,bulle,bakverk,Krans,Vetefläta,Långpannekaka,Svenska,Engelska,Sverige,Halland,Västergötland,40-49,Kvinna,Tue May 18 09:21:58 PM 2021
tårta,tårta,paj,paj,kex,kaka,kaka,kex,bakelse,bakelse,bulle,bröd,bakverk,bakverk,bakverk,Franska,"Engelska, Svenska",Frankrike,Jag kommer inte från Sverige,Uppland,20-29,Kvinna,Wed May 19 02:09:48 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kex,bakverk,bakelse,bulle,bulle,bakverk,bröd,ruta,Svenska,Tyska Engelska,Sverige,Södermanland,Jag bor inte i Sverige,40-49,Kvinna,Wed May 19 09:06:42 PM 2021
