Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,cookie,slice,tart,cookie,pastry,bun,bun,pastry,bun,bun,Cobbler,Norwegian,"English, German, Spanish",50-59,Female,Norway,,Fri May 14 07:43:13 PM 2021
cake,"I would select cake if forced to choose, but I’ve really never seen anything like it. Is it real? May I have a slice please? That would help me answer this item more accurately. Plus, it looks yummy.",tart,pie,cookie,cake,pie,cookie,pastry,"I would select cake if forced to choose, but I’ve really never seen anything like it. Is it real? May I have a slice please? That would help me answer this item more accurately. Plus, it looks yummy.",roll,cookie,cake,"Challah, a very specific type of bread ",pastry,English ,"L2 German, L2 Spanish, some L2 French",50-59,Male,USA,,Fri May 14 08:03:43 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,roll,bread,cake,Loaf,tart,English,Maori,60-69,Male,New Zealand,,Fri May 14 08:11:22 PM 2021
cake,cake,Flan,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,pastry,bread,biscuit,English,Spanis,40-49,Female,England,None,Fri May 14 08:11:25 PM 2021
cake,cake,tart,pie,biscuit,slice,tart,biscuit,pastry,scone (rhymes with loan),pastry,pastry,pastry,bun,pastry,english,,50-59,Male,England ,ireland ,Fri May 14 08:21:01 PM 2021
Wedding cake,cake,tart,pie,cookie,Slice of cake,pastry,pastry,pastry,pastry,pastry,tart,cake,bun,Looks like a sponge cake/sweet bread like banana bread,English/Marathi,"Hindi, French, Italian",20-29,Male,India,Lived in US for 5-6 years,Fri May 14 08:21:42 PM 2021
cake,cake,cake,cake,cake,cake,pie,cake,pastry,cake,cake,cake,cake,cake,cake,German,"English, Swedish, Bosnian, French, Russian, Spanish, Finnish",20-29,Female,Germany,,Fri May 14 08:27:20 PM 2021
cake,cake,tart,pie,biscuit,slice,pie,biscuit,pastry,Berliner,roll,bread,Brioche,Brioche,pie,French,English Dutch German Spanish Italian,40-49,Female,France ,The Netherlands ,Fri May 14 08:33:33 PM 2021
cake,cake,tart,pie,biscuit,pie,slice,biscuit,pastry,tart,roll,bun,bun,bread,bun,Arabic,"English, French, Spanish.",20-29,Male,Algeria,N/A,Fri May 14 08:36:07 PM 2021
cake,cake,pie,pie,tart,cake,slice,cookie,pie,bun,pastry,pastry,pie,pastry,slice,Utdu,"English, Arabic, ",20-29,Male,Pakistan,,Fri May 14 08:54:37 PM 2021
